Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|IQSM|99|0|100|Q
20251219|IQST|32516|1526|52554|Q,N
20251219|IQSU|102|0|1216|Q
20251219|IQSZ|2|0|3|Q,N
20251219|IQV|294957|2492|534338|B,Q,N
20251219|IR|434234|225|743148|B,Q,N
20251219|IRBT|16758955|2795433|27257477|B,Q,N
20251219|IRD|56752|0|151665|B,Q,N
20251219|IRDM|445751|0|840594|B,Q,N
20251219|IRE|3863537|25880|7565569|B,Q,N
20251219|IREG|8233|0|9063|Q,N
20251219|IREN|3822966|358144|12854701|B,Q,N
20251219|IRET|66|0|181|Q
20251219|IREX|179087|0|614756|B,Q,N
20251219|IRHOU|119|0|6819|Q
20251219|IRIX|11222|0|18299|Q
20251219|IRM|358208|2869|734162|B,Q,N
20251219|IRMD|15704|0|34042|Q,N
20251219|IROC|51|0|199|Q
20251219|IRON|1196592|6094|1926249|B,Q,N
20251219|IROQ|68|0|529|Q
20251219|IRS|25865|0|53150|B,Q,N
20251219|IRS/WS|20|0|856|Q
20251219|IRT|267068|1873|4933015|B,Q,N
20251219|IRTC|123696|0|254459|Q,N
20251219|IRTR|316|0|2591|Q
20251219|IRVH|1|0|72|Q
20251219|IRWD|379648|213|1383926|B,Q,N
20251219|ISBA|17075|0|48663|Q,N
20251219|ISCB|1369|0|2766|Q,N
20251219|ISCF|20383|0|64225|Q,N
20251219|ISCG|10992|0|18171|Q,N
20251219|ISCV|3573|0|5595|Q
20251219|ISD|21271|0|50133|Q,N
20251219|ISEP|2720|0|4308|Q,N
20251219|ISHG|11478|0|53084|Q,N
20251219|ISHP|14|0|17|Q
20251219|ISMD|6015|0|8789|Q,N
20251219|ISMF|1080|0|2666|B,Q
20251219|ISOU|19388|0|25242|Q,N
20251219|ISPC|57814|0|122050|Q,N
20251219|ISPO|42274|0|186478|B,Q,N
20251219|ISPOW|11936|600|14781|Q
20251219|ISPR|8035|0|16549|Q,N
20251219|ISPY|28282|0|83678|B,Q,N
20251219|ISRA|1651|0|3454|Q
20251219|ISRG|542785|1488|912013|B,Q,N
20251219|ISSC|167709|3314|634195|B,Q,N
20251219|ISTB|77651|0|226280|B,Q,N
20251219|ISTR|1902|0|5572|B,Q
20251219|ISUL|1137|0|1830|B,Q,N
20251219|ISVL|5385|0|6848|Q,N
20251219|ISWN|4416|0|4846|Q
20251219|IT|234782|10|289624|B,Q,N
20251219|ITA|272303|100|381132|B,Q,N
20251219|ITAN|8514|0|8614|Q
20251219|ITB|766326|184|1209048|B,Q,N
20251219|ITDB|2905|0|9552|Q,N
20251219|ITDC|3880|0|16063|Q,N
20251219|ITDD|6319|0|11879|Q
20251219|ITDE|3498|0|8464|B,Q,N
20251219|ITDF|2296|0|5045|B,Q
20251219|ITDG|3788|0|3826|Q
20251219|ITDH|1527|0|1720|Q
20251219|ITDI|336|0|421|Q,N
20251219|ITDJ|348|0|406|Q,N
20251219|ITEQ|1399|0|3777|Q
20251219|ITGR|129315|0|297682|B,Q,N
20251219|ITHAU|93|0|593|Q
20251219|ITIC|3939|3|6675|Q,N
20251219|ITM|28154|0|95524|Q,N
20251219|ITOT|494447|707|724361|B,Q,N
20251219|ITP|70444|0|102162|Q,N
20251219|ITRG|483007|0|933142|B,Q,N
20251219|ITRI|124543|0|180530|B,Q,N
20251219|ITRM|117853|0|225765|B,Q,N
20251219|ITRN|13735|0|29970|Q,N
20251219|ITT|143562|0|257854|B,Q,N
20251219|ITUB|2665694|518|4664368|B,Q,N
20251219|ITW|271598|12|508106|B,Q,N
20251219|ITWO|5114|0|7835|Q
20251219|IUS|3873|0|41359|Q,N
20251219|IUSB|1147952|0|1649015|B,Q,N
20251219|IUSG|110241|817|279840|B,Q,N
20251219|IUSV|446576|60|676406|Q,N
20251219|IVA|27480|0|66132|B,Q,N
20251219|IVAL|2383|0|5003|Q
20251219|IVDA|10170|0|35569|Q,N
20251219|IVDAW|70|0|70|Q
20251219|IVE|231989|15|412599|B,Q,N
20251219|IVES|263321|22697|482984|B,Q,N
20251219|IVF|13891|4052|48088|Q
20251219|IVLU|216752|1428|419426|B,Q,N
20251219|IVOG|5750|0|12199|Q,N
20251219|IVOL|34622|0|457759|Q,N
20251219|IVOO|26116|0|40280|Q,N
20251219|IVOV|6117|0|10269|Q,N
20251219|IVP|20316852|45446|37710293|B,Q,N
20251219|IVR|1047689|2982|2382154|B,Q,N
20251219|IVRA|1398|0|3967|Q,N
20251219|IVRpC|4158|0|5283|Q,N
20251219|IVRS|19|0|22|Q
20251219|IVSS|2133|0|3228|Q
20251219|IVT|57628|112|103558|B,Q,N
20251219|IVV|1022608|631|1760413|B,Q,N
20251219|IVVB|5642|0|22960|Q,N
20251219|IVVD|1473973|400|1898074|B,Q,N
20251219|IVVM|6112|0|6957|Q
20251219|IVVW|8915|0|21921|B,Q,N
20251219|IVW|448328|700|790920|B,Q,N
20251219|IVZ|1089159|772|1735693|B,Q,N
20251219|IWB|184029|881|369938|B,Q,N
20251219|IWC|17338|0|30034|Q,N
20251219|IWD|1019746|151|2468342|B,Q,N
20251219|IWF|322970|326|920137|B,Q,N
20251219|IWFG|5|0|9|Q
20251219|IWL|8341|0|19295|Q,N
20251219|IWLG|14530|0|25109|Q,N
20251219|IWM|12365492|2101|19372618|B,Q,N
20251219|IWMI|113166|0|136069|B,Q,N
20251219|IWMW|1187|0|3013|Q,N
20251219|IWMY|22115|774|47686|B,Q,N
20251219|IWN|204130|81|389482|Q,N
20251219|IWO|119040|0|203496|Q,N
20251219|IWP|374923|0|737390|B,Q,N
20251219|IWR|654491|6|982051|B,Q,N
20251219|IWS|156092|0|349029|B,Q,N
20251219|IWV|35959|1082|79450|B,Q,N
20251219|IWX|39269|61|80074|B,Q,N
20251219|IWY|58455|40|109874|B,Q,N
20251219|IX|44594|104|59610|B,Q,N
20251219|IXC|66789|0|187473|Q,N
20251219|IXG|4693|0|18194|Q
20251219|IXHL|11126653|138522|23083312|B,Q,N
20251219|IXJ|56692|200|91991|B,Q,N
20251219|IXN|19442|0|110248|B,Q,N
20251219|IXP|2182|0|20589|Q
20251219|IXUS|686674|0|984789|B,Q,N
20251219|IYC|11638|0|32200|Q,N
20251219|IYE|139355|0|210100|B,Q,N
20251219|IYF|48075|1|90951|Q,N
20251219|IYG|11964|24|33287|B,Q,N
20251219|IYH|121992|0|163049|Q,N
20251219|IYJ|6994|0|17273|B,Q,N
20251219|IYK|50175|0|81220|Q,N
20251219|IYLD|17781|0|44432|B,Q,N
20251219|IYM|6345|0|16831|Q,N
20251219|IYR|980102|0|1911397|B,Q,N
20251219|IYRI|53046|0|69858|Q,N
20251219|IYT|122906|26|219337|B,Q,N
20251219|IYW|215643|111|388450|B,Q,N
20251219|IYY|9732|0|26831|Q,N
20251219|IYZ|163427|0|240797|B,Q,N
20251219|IZEA|12468|0|30351|B,Q,N
20251219|IZM|18225|0|26157|B,Q
20251219|IZRL|2735|0|6480|Q,N
20251219|J|161186|3855|278281|B,Q,N
20251219|JAAA|1454601|0|2813268|B,Q,N
20251219|JABS|28|0|31|Q,N
20251219|JACK|136198|445|232487|B,Q,N
